original_path,detected_folder,proposed_category,proposed_person_id,action,reason,confidence
TFI-Faces\Bollywood Actor Images\Bollywood Actor Images\abhay_deol,abhay_deol,actors,abhay_deol,COPY,Standard actor classification (requires manual verification),MEDIUM
TFI-Faces\Bollywood Actor Images\Bollywood Actor Images\adil_hussain,adil_hussain,actors,adil_hussain,COPY,Standard actor classification (requires manual verification),MEDIUM
TFI-Faces\Bollywood Actor Images\Bollywood Actor Images\ajay_devgn,ajay_devgn,actors,ajay_devgn,COPY,Standard actor classification (requires manual verification),MEDIUM
TFI-Faces\Bollywood Actor Images\Bollywood Actor Images\akshaye_khanna,akshaye_khanna,actors,akshaye_khanna,COPY,Standard actor classification (requires manual verification),MEDIUM
TFI-Faces\Bollywood Actor Images\Bollywood Actor Images\akshay_kumar,akshay_kumar,actors,akshay_kumar,COPY,Standard actor classification (requires manual verification),MEDIUM
TFI-Faces\Bollywood Actor Images\Bollywood Actor Images\amitabh_bachchan,amitabh_bachchan,actors,amitabh_bachchan,COPY,Standard actor classification (requires manual verification),MEDIUM
TFI-Faces\Bollywood Actor Images\Bollywood Actor Images\amjad_khan,amjad_khan,actors,amjad_khan,COPY,Standard actor classification (requires manual verification),MEDIUM
TFI-Faces\Bollywood Actor Images\Bollywood Actor Images\amole_gupte,amole_gupte,actors,amole_gupte,COPY,Standard actor classification (requires manual verification),MEDIUM
TFI-Faces\Bollywood Actor Images\Bollywood Actor Images\amol_palekar,amol_palekar,actors,amol_palekar,COPY,Standard actor classification (requires manual verification),MEDIUM
TFI-Faces\Bollywood Actor Images\Bollywood Actor Images\amrish_puri,amrish_puri,actors,amrish_puri,COPY,Standard actor classification (requires manual verification),MEDIUM
TFI-Faces\Bollywood Actor Images\Bollywood Actor Images\anil_kapoor,anil_kapoor,actors,anil_kapoor,COPY,Standard actor classification (requires manual verification),MEDIUM
TFI-Faces\Bollywood Actor Images\Bollywood Actor Images\annu_kapoor,annu_kapoor,actors,annu_kapoor,COPY,Standard actor classification (requires manual verification),MEDIUM
TFI-Faces\Bollywood Actor Images\Bollywood Actor Images\anupam_kher,anupam_kher,actors,anupam_kher,COPY,Standard actor classification (requires manual verification),MEDIUM
TFI-Faces\Bollywood Actor Images\Bollywood Actor Images\anushka_shetty,anushka_shetty,actresses,anushka_shetty,COPY,Matches verified Actress list entry,HIGH
TFI-Faces\Bollywood Actor Images\Bollywood Actor Images\arshad_warsi,arshad_warsi,actors,arshad_warsi,COPY,Standard actor classification (requires manual verification),MEDIUM
TFI-Faces\Bollywood Actor Images\Bollywood Actor Images\aruna_irani,aruna_irani,actresses,aruna_irani,COPY,Matches verified Actress list entry,HIGH
TFI-Faces\Bollywood Actor Images\Bollywood Actor Images\ashish_vidyarthi,ashish_vidyarthi,actors,ashish_vidyarthi,COPY,Standard actor classification (requires manual verification),MEDIUM
TFI-Faces\Bollywood Actor Images\Bollywood Actor Images\asrani,asrani,actors,asrani,COPY,Standard actor classification (requires manual verification),MEDIUM
TFI-Faces\Bollywood Actor Images\Bollywood Actor Images\atul_kulkarni,atul_kulkarni,actors,atul_kulkarni,COPY,Standard actor classification (requires manual verification),MEDIUM
TFI-Faces\Bollywood Actor Images\Bollywood Actor Images\ayushmann_khurrana,ayushmann_khurrana,actors,ayushmann_khurrana,COPY,Standard actor classification (requires manual verification),MEDIUM
TFI-Faces\Bollywood Actor Images\Bollywood Actor Images\boman_irani,boman_irani,actors,boman_irani,COPY,Standard actor classification (requires manual verification),MEDIUM
TFI-Faces\Bollywood Actor Images\Bollywood Actor Images\chiranjeevi,chiranjeevi,telugu_heroes,chiranjeevi,COPY,Matches verified Telugu Hero list entry,HIGH
TFI-Faces\Bollywood Actor Images\Bollywood Actor Images\chunky_panday,chunky_panday,actors,chunky_panday,COPY,Standard actor classification (requires manual verification),MEDIUM
TFI-Faces\Bollywood Actor Images\Bollywood Actor Images\danny_denzongpa,danny_denzongpa,actors,danny_denzongpa,COPY,Standard actor classification (requires manual verification),MEDIUM
TFI-Faces\Bollywood Actor Images\Bollywood Actor Images\darsheel_safary,darsheel_safary,actors,darsheel_safary,COPY,Standard actor classification (requires manual verification),MEDIUM
TFI-Faces\Bollywood Actor Images\Bollywood Actor Images\deepika_padukone,deepika_padukone,actresses,deepika_padukone,COPY,Matches verified Actress list entry,HIGH
TFI-Faces\Bollywood Actor Images\Bollywood Actor Images\deepti_naval,deepti_naval,actresses,deepti_naval,COPY,Matches verified Actress list entry,HIGH
TFI-Faces\Bollywood Actor Images\Bollywood Actor Images\dev_anand,dev_anand,actors,dev_anand,COPY,Standard actor classification (requires manual verification),MEDIUM
TFI-Faces\Bollywood Actor Images\Bollywood Actor Images\dharmendra,dharmendra,actors,dharmendra,COPY,Standard actor classification (requires manual verification),MEDIUM
