image_path,person_id,category,reason,blur_score,face_count,action
datasets/raw\actors\abhay_deol\03e93e2253.jpg,abhay_deol,actors,no_face,853.2,0,move
datasets/raw\actors\abhay_deol\0d2583fb3e.jpg,abhay_deol,actors,no_face,1489.3,0,move
datasets/raw\actors\abhay_deol\0d7bdef5c6.jpg,abhay_deol,actors,no_face,3547.1,0,move
datasets/raw\actors\abhay_deol\14a5050959.jpg,abhay_deol,actors,no_face,110.3,0,move
datasets/raw\actors\abhay_deol\1c005280da.jpg,abhay_deol,actors,no_face,615.8,0,move
datasets/raw\actors\abhay_deol\27f8f01be8.jpg,abhay_deol,actors,no_face,3705.8,0,move
datasets/raw\actors\abhay_deol\2a27c0bda2.jpg,abhay_deol,actors,no_face,186.5,0,move
datasets/raw\actors\abhay_deol\36a456e3b0.jpg,abhay_deol,actors,no_face,988.4,0,move
datasets/raw\actors\abhay_deol\3bb8416b81.jpg,abhay_deol,actors,no_face,362.6,0,move
datasets/raw\actors\abhay_deol\45b7377639.jpg,abhay_deol,actors,no_face,701.4,0,move
datasets/raw\actors\abhay_deol\5d05887989.jpg,abhay_deol,actors,no_face,1379.3,0,move
datasets/raw\actors\abhay_deol\74bdbda438.jpg,abhay_deol,actors,no_face,118.7,0,move
datasets/raw\actors\abhay_deol\78ef068d53.jpg,abhay_deol,actors,no_face,2555.6,0,move
datasets/raw\actors\abhay_deol\7c38f96ee8.jpg,abhay_deol,actors,no_face,822.0,0,move
datasets/raw\actors\abhay_deol\7f5c381961.jpg,abhay_deol,actors,no_face,65.6,0,move
datasets/raw\actors\abhay_deol\83ebbecbfd.jpg,abhay_deol,actors,no_face,160.0,0,move
datasets/raw\actors\abhay_deol\97be0cfbee.jpg,abhay_deol,actors,no_face,311.7,0,move
datasets/raw\actors\adil_hussain\01d3ba3e5f.jpg,adil_hussain,actors,no_face,625.5,0,move
datasets/raw\actors\adil_hussain\1b26686ed7.jpg,adil_hussain,actors,no_face,323.0,0,move
datasets/raw\actors\adil_hussain\1e06be0f0b.jpg,adil_hussain,actors,no_face,1949.4,0,move
datasets/raw\actors\adil_hussain\2a2552a010.jpg,adil_hussain,actors,no_face,1488.7,0,move
datasets/raw\actors\adil_hussain\2b897bb09e.jpg,adil_hussain,actors,no_face,47.4,0,move
datasets/raw\actors\adil_hussain\38bd97b03a.jpg,adil_hussain,actors,no_face,3083.5,0,move
datasets/raw\actors\adil_hussain\3a7309cb61.jpg,adil_hussain,actors,no_face,1191.2,0,move
datasets/raw\actors\adil_hussain\3f6870e604.jpg,adil_hussain,actors,no_face,1135.4,0,move
datasets/raw\actors\adil_hussain\4bf66ef5bb.jpg,adil_hussain,actors,no_face,211.0,0,move
datasets/raw\actors\adil_hussain\5b1e2f5ec6.jpg,adil_hussain,actors,no_face,74.9,0,move
datasets/raw\actors\adil_hussain\5cd544e090.jpg,adil_hussain,actors,no_face,5674.0,0,move
datasets/raw\actors\adil_hussain\64be460949.jpg,adil_hussain,actors,no_face,405.7,0,move
datasets/raw\actors\adil_hussain\6a93f8042b.jpg,adil_hussain,actors,no_face,292.3,0,move
datasets/raw\actors\adil_hussain\6ecc71500f.jpg,adil_hussain,actors,no_face,1938.4,0,move
datasets/raw\actors\adil_hussain\7b7bd824bd.jpg,adil_hussain,actors,no_face,305.7,0,move
datasets/raw\actors\adil_hussain\81a5e1fd97.jpg,adil_hussain,actors,no_face,1872.2,0,move
datasets/raw\actors\adil_hussain\8cd2864bfe.jpg,adil_hussain,actors,no_face,156.1,0,move
datasets/raw\actors\ajay_devgn\0410aa3020.jpg,ajay_devgn,actors,no_face,638.8,0,move
